user_score;publisher;title;genre;score;release
7.9;;BROFORCE;;82;Oct 15, 2015
7.2;;Broken Age;;76;Apr 28, 2015
7.7;;Broken Age: Act 1;;82;Jan 28, 2014
6.5;;Broken Age: Act 2;;73;Apr 28, 2015
;;Broken Dimensions;;;Mar 29, 2011
;;Broken Hearted: A 9/11 Story;;;Sep 11, 2006
;;Broken Hearts: A Soldier's Duty;;;Jul 16, 2010
;;Broken Robot Love;;;Sep 10, 2012
8.1;;Broken Sword 5: The Serpents' Curse - Part I;;69;Dec 4, 2013
7.7;;Broken Sword 5: The Serpents' Curse - Part II;;72;Apr 17, 2014
8.3;;Broken Sword: Shadow of the Templars (The Director's Cut);;;Sep 2, 2010
7.6;The Adventure Company;Broken Sword: The Sleeping Dragon;Adventure,Modern,Third-Person,3D,Modern;82;Nov 17, 2003
8.2;Virgin Interactive;Broken Sword: The Smoking Mirror;Adventure,Modern,Third-Person,Modern,Point-and-Click;69;Oct 31, 1997
7.0;;Broken Sword: The Smoking Mirror - Remastered;;;Dec 2, 2009
;;BrokenEarth;;;Apr 3, 2013
;;Bronco X;;;Nov 24, 2011
;;Bronze;;;Nov 1, 2010
;;Brother against Brother: The Drawing of the Sword;;;Apr 16, 2015
;;Brotherhood of Violence;;;Mar 18, 2013
;;Brothers in Arms: Complete Collection;;;May 10, 2011
7.3;Ubisoft;Brothers in Arms: Earned in Blood;Action,Shooter,First-Person,Historic,Shooter,Historic,Arcade;84;Oct 6, 2005
7.9;Ubisoft;Brothers in Arms: Hell's Highway;Action,Shooter,First-Person,Historic,Shooter,Historic;79;Oct 7, 2008
7.1;Ubisoft;Brothers in Arms: Road to Hill 30;Action,Shooter,First-Person,Historic,Shooter,Historic;87;Mar 15, 2005
8.6;505 Games;Brothers: A Tale of Two Sons;ActionAdventure,Fantasy,Fantasy,Linear;90;Sep 3, 2013
;Interactive Magic;Bruce Jenner's World Class Decathlon;Sports,OlympicSports;;Jun 30, 1996
;;Brukkon;;;Dec 14, 2009
;;Brunhilda and the Dark Crystal;;;Sep 13, 2010
;;Brunswick Billiards Pro Pool 3D 2;;;Apr 28, 2000
;THQ;Brunswick Circuit Pro Bowling;Sports,Alternative,Bowling,Bowling,Individual;;Sep 30, 1998
7.8;Double Fine Productions;Brutal Legend;Action,General,ActionAdventure,Fantasy,General,Fantasy,Open-World;80;Feb 26, 2013
;;Brutal Nature;;;Dec 20, 2013
;Copenhagen Game Collective;Brutally Unfair Tactics Totally OK Now (B.U.T.T.O.N.);Miscellaneous,General;;Feb 28, 2011
;;BS Hacker - Zero Expansion;;;May 1, 2004
;;BS Hacker: Replay;;;Nov 25, 2003
;;BtS - Evacuation;;;Dec 15, 2011
;;Bubble Blitz;;;Aug 30, 2005
;Acclaim;Bubble Bobble featuring Rainbow Islands;Action,Platformer,2D,Platformer,2D;;Sep 30, 1996
;;Bubble Burst;;;Jun 13, 2008
;;Bubble Raider;;;Dec 18, 2014
;;Bubble Town;;;Dec 15, 2009
;;Bubblefish Bob;;;May 17, 2005
;;Bubbles Quest;;;May 3, 2015
;SSI;Buccaneer;Strategy,General,General;;Sep 30, 1997
;;Buccaneer's Bounty;;;Mar 27, 2006
6.7;;Buccaneer: The Pursuit of Infamy;;68;Dec 5, 2008
;WizardWorks;Buckmasters Deer Hunting;Sports,Nature,Hunting,Hunting;;Aug 16, 2000
;;Bud Redhead;;;Sep 28, 2004
;;Buff Knight Advanced;;;Sep 2, 2015
;Sega;Bug Too!;Action,Platformer,2D,Platformer,2D;;Dec 10, 1996
;Sega;Bug!;Action,Platformer,3D,Platformer,3D;;Aug 31, 1996
;;Bugbird Mini Golf;;;Jun 30, 2015
;;Bugdom;;;Oct 27, 2000
;Ideas From the Deep;Bugdom 2;Action,Platformer,3D,Platformer,3D;;Apr 4, 2005
8.7;Infogrames;Bugs Bunny: Lost in Time;Action,Platformer,3D,Platformer,3D;;Sep 30, 1999
;;Build & Destroy;;;Nov 13, 2014
;;Build 'n Bump;;;Jul 22, 2015
;;Build in Time;;;Apr 27, 2009
;;Build It Green: Back to the Beach;;;Sep 22, 2010
;;Build It Up;;;Apr 18, 2015
;MumboJumbo;Build-a-lot;Strategy,Tycoon,Tycoon;;Mar 4, 2008
;;Build-a-lot 3: Passport To Europe;;;Jan 12, 2010
;;Build-a-lot 4: Power Source;;;Aug 12, 2009
;;Bulb Boy;;;Oct 29, 2015
;;Bullet Bubby;;;Jun 6, 2015
;;Bullet Candy;;;Feb 14, 2007
5.2;Sony Online Entertainment;Bullet Run;Action,Shooter,First-Person,Modern,Shooter,Modern;53;Jul 31, 2012
;;Bullet Train;;;Feb 5, 2012
;;BulletMAX;;;Mar 18, 2014
7.6;Electronic Arts;Bulletstorm;Action,General,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter;82;Feb 22, 2011
;;Bulletstorm: Blood Symphony Pack;;;Jun 10, 2011
3.5;;Bulletstorm: Gun Sonata Pack;;;May 19, 2011
7.5;Rockstar Games;Bully: Scholarship Edition;ActionAdventure,Modern,Modern;72;Oct 21, 2008
;;Bulwark;;;Sep 29, 2014
;;Bumble Tales;;;Sep 9, 2009
;;Bumbledore;;;Mar 15, 2012
4.0;;Bunch of Heroes;;;Sep 21, 2011
;;Bunch of Heroes: Holiday Pack;;;Dec 19, 2011
;;Bunch of Heroes: Horror Pack;;;Oct 27, 2011
;;Bunker - The Underground Game;;70;May 21, 2015
6.8;;Bunny Must Die!;;;Sep 11, 2012
;Rockin Android;Bunny Must Die: Chelsea and the 7Devils;Action,Platformer,2D;;Sep 26, 2013
;eGames;Burger Island;Action,General,General;;Sep 24, 2007
;;Burger Island 2: The Missing Ingredient;;;May 11, 2009
;;Burger Rush;;;Mar 23, 2009
;;Burger Shop;;;Nov 19, 2008
;;Burgers;;;Aug 10, 2015
;I-Play;Buried in Time;Simulation,General,General;;May 13, 2010
;TopWare;Burn;Action,Shooter,First-Person,Sci-Fi;;Jan 4, 2007
4.4;P2 Games;Burn Zombie Burn;Action,Shooter,Third-Person,Fantasy,Fantasy,Shooter,Arcade;72;Aug 12, 2010
;;Burning Cars;;;Jan 31, 2014
;;Burnout Paradise: Boost Specials Collection;;;Mar 25, 2009
7.0;;Burnout Paradise: Legendary Cars Collection;;;Mar 25, 2009
;;Burnout Paradise: Party;;;Feb 5, 2009
7.5;Electronic Arts;Burnout Paradise: The Ultimate Box;Driving,Racing,Arcade,Arcade,Automobile;87;Feb 5, 2009
;Bethesda Softworks;Burnout: Championship Drag Racing;Driving,Racing,Drag,Drag;;Mar 31, 1998
;;BurnStar;;;Mar 18, 2015
;;Burnt Islands;;;May 21, 2014
;;Burrito Bison Revenge;;;Jan 27, 2012
7.2;Meridian4;Bus Driver;Simulation,General,General;61;May 30, 2008
;;Bus Simulator 2008;;;May 10, 2009
;Interplay;Bust-A-Move 4;Miscellaneous,Puzzle,Matching,Puzzle,Puzzle,Matching;;Jan 31, 2000
;;Bust-n-Rush;;;Dec 8, 2011
;;Busy Days in Deerfield Valley;;;Sep 1, 2005
;;But to Paint a Universe;;;Jan 15, 2015
;;ButaVX: Justice Fighter;;;Oct 20, 2009
;;Butsbal;;;Jun 3, 2015
7.1;;Buzz Aldrin's Space Program Manager;;62;Oct 31, 2014
;Discovery Channel Multimedia;Byzantine: The Betrayal;Adventure,General,General;;Sep 30, 1997
;;C-130 Hercules;;;Sep 21, 2008
;;C-RUSH;;;Feb 17, 2014
;;C-Wars;;;Aug 13, 2015
;;C.R.E.E.P.S;;;Aug 18, 2015
7.3;OGPlanet;CABAL Online;Role-Playing,MassivelyMultiplayerOnline,Fantasy,Fantasy;;Feb 21, 2008
;;Cabbage Patch Kids: Where's My Pony?;;;Nov 3, 2005
;Activision Value;Cabela's 4x4 Off-Road Adventure 3;Driving,Racing,Rally/Offroad,Rally/Offroad;;Mar 12, 2003
3.8;Activision;Cabela's African Adventures;Sports,Nature,Hunting,Hunting,Individual;;Oct 16, 2013
;Activision Value;Cabela's African Safari;Sports,Nature,Hunting,Hunting;;Oct 17, 2006
7.0;Activision Value;Cabela's Big Game Hunter 2004 Season;Sports,Nature,Hunting;;Aug 27, 2003
7.4;Activision Value;Cabela's Big Game Hunter 2005 Adventures;Sports,Nature,Hunting,Hunting,Individual;;Sep 6, 2004
;;Cabela's Big Game Hunter 2006;;;Sep 27, 2005
;;Cabela's Big Game Hunter 2006 with 4x4 Off Road Adventure;;;Mar 29, 2011
;Activision;Cabela's Big Game Hunter 2007: 10th Anniversary Edition;Sports,Nature,Hunting;;Oct 2, 2006
;;Cabela's Big Game Hunter 4;;;Sep 12, 2000
;;Cabela's Big Game Hunter 5 Platinum;;;Sep 3, 2001
;;Cabela's Big Game Hunter 6;;;Aug 23, 2002
;;Cabela's Big Game Hunter III;;;Sep 14, 1999
;Activision;Cabela's Big Game Hunter: 10th Anniversary Edition - Alaskan Adventure;Sports,Nature,Hunting,Hunting;;Oct 2, 2006
7.5;;Cabela's Big Game Hunter: Pro Hunts;;;Mar 25, 2014
;Activision;Cabela's Big Game Hunter: Trophy Bucks;Sports,Nature,Hunting,Hunting;;Sep 25, 2007
7.4;Activision Value;Cabela's Dangerous Hunts;Sports,Nature,Hunting,Hunting;68;Feb 5, 2004
5.5;;Cabela's Dangerous Hunts 2;;;Nov 24, 2005
4.4;Activision;Cabela's Dangerous Hunts 2013;Sports,Nature,Hunting,Hunting;;Oct 22, 2012
;Activision;Cabela's Deer Hunt 2005 Season;Sports,Nature,Hunting,Hunting;;Sep 3, 2004
;Activision;Cabela's GrandSlam Hunting: 2004 Trophies;Sports,Nature,Hunting;;Aug 29, 2003
6.0;Activision;Cabela's Hunting Expeditions;Sports,Nature,Hunting,Hunting;;Oct 22, 2012
;Activision;Cabela's Off-Road Adventure 2;Driving,Racing,Rally/Offroad,Rally/Offroad;;Nov 13, 2001
;Activision;Cabela's Outdoor Adventures (2006);Sports,Nature,Hunting,Hunting;;Mar 7, 2006
;Activision;Cabela's Outdoor Adventures (2009);Sports,Nature,Hunting,Hunting;;Oct 13, 2009
;;Cabela's Outdoor Trivia Challenge;;;Dec 8, 1999
;;Caboodle;;;Aug 15, 2005
;;Caddy Hack;;;Oct 22, 1996
8.7;Sierra Entertainment;Caesar III;Strategy,CityBuilding,Historic,Historic;;Sep 30, 1998
7.6;Vivendi Games;Caesar IV;Strategy,CityBuilding,Historic,Historic;74;Sep 26, 2006
;;CaesarIA;;;Jan 20, 2015
;Interplay;Caesars Palace 2000: Millennium Gold Edition;Miscellaneous,Parlor,Gambling,Gambling;;Jun 29, 2000
;;CAFE 0 ~The Drowned Mermaid~;;;Oct 4, 2011
;;Caffeine;;;Oct 5, 2015
;;Caffeine: Episode One;;;Oct 5, 2015
;;Cahors Sunset;;;May 4, 2014
;Brighter Child;Caillou: Ready for School;Miscellaneous,Edutainment;;Jun 1, 2005
;;Caillou: Ready to Read;;;Aug 30, 2007
;;Cake Mania;;;Sep 15, 2006
;Oberon Media, Elephant Entertainment;Cake Mania 2: Jill's Next Adventure!;Miscellaneous,Puzzle,General,General,Puzzle,Puzzle;;Oct 23, 2007
;;Cake Mania 3;;;Aug 29, 2008
;;Cake Mania Collection;;;Jul 17, 2009
;;Cake Mania: Back To The Bakery;;;Sep 15, 2009
;;Cake Mania: Main Street;;;Aug 15, 2010
;;Cake Shop;;;Jan 21, 2009
;;Calibre 10 Racing Series;;;Mar 26, 2014
3.2;Strategy First;Call for Heroes: Pompolic Wars;Role-Playing,General,General;25;Jun 26, 2007
7.6;2K Games;Call of Cthulhu: Dark Corners of the Earth;ActionAdventure,Horror,Horror;76;Apr 26, 2006
7.4;;Call of Cthulhu: The Wasted Land;;;May 5, 2012
8.4;Activision;Call of Duty;Action,Shooter,First-Person,Historic,Third-Person,Tactical,Shooter,Historic;91;Oct 29, 2003
8.3;Activision;Call of Duty 2;Action,Shooter,First-Person,Historic,Shooter,Historic;86;Oct 25, 2005
8.5;Activision;Call of Duty 4: Modern Warfare;Action,Shooter,First-Person,Modern,Shooter,Modern;92;Nov 5, 2007
6.5;Activision;Call of Duty Deluxe Edition Box Set;Miscellaneous,Compilation,Compilation;;Apr 6, 2005
4.4;;Call of Duty: Advanced Warfare;;78;Nov 3, 2014
;;Call of Duty: Advanced Warfare - Ascendance;;;Apr 30, 2015
5.0;Activision;Call of Duty: Black Ops;Action,Shooter,First-Person,Historic,Shooter,Historic;81;Nov 9, 2010
4.4;;Call of Duty: Black Ops - Annihilation;;;Jul 28, 2011
4.8;;Call of Duty: Black Ops - Escalation;;;Jun 2, 2011
4.6;Activision;Call of Duty: Black Ops - First Strike;Action,Shooter,First-Person,Modern,Shooter,Historic;;Mar 25, 2011
2.2;Activision;Call of Duty: Black Ops - Rezurrection;Action,Shooter,First-Person,Historic,Shooter,Historic;;Sep 22, 2011
4.0;Activision;Call of Duty: Black Ops II;Action,Shooter,First-Person,Historic,Shooter,Modern,Arcade;74;Nov 13, 2012
2.1;Activision;Call of Duty: Black Ops II - Apocalypse;Action,Shooter,First-Person,Historic,Shooter,Modern,Arcade;;Sep 26, 2013
;Activision;Call of Duty: Black Ops II - Nuketown Zombies;Action,Shooter,First-Person,Historic,Shooter,Modern,Arcade;;Nov 13, 2012
3.5;Activision;Call of Duty: Black Ops II - Revolution;Action,Shooter,First-Person,Historic,Shooter,Modern,Arcade;;Feb 28, 2013
3.8;Activision;Call of Duty: Black Ops II - Uprising;Action,Shooter,First-Person,Historic,Shooter,Modern,Arcade;;May 16, 2013
2.8;;Call of Duty: Black Ops II - Vengeance;;;Aug 1, 2013
2.0;;Call of Duty: Ghosts;;68;Nov 5, 2013
;;Call of Duty: Ghosts - Devastation;;;May 8, 2014
6.6;;Call of Duty: Ghosts - Invasion;;;Jul 3, 2014
;;Call of Duty: Ghosts - Nemesis;;;Sep 4, 2014
;;Call of Duty: Ghosts - Onslaught;;;Feb 27, 2014
4.1;Activision;Call of Duty: Modern Warfare 2;Action,Shooter,First-Person,Modern,Shooter,Modern;86;Nov 10, 2009
1.8;;Call of Duty: Modern Warfare 2 - Resurgence Pack;;;Sep 30, 2010
1.9;;Call of Duty: Modern Warfare 2 - Stimulus Package;;;May 4, 2010
2.5;Activision;Call of Duty: Modern Warfare 3;Action,Shooter,First-Person,Modern,Shooter,Modern;78;Nov 8, 2011
;;Call of Duty: Modern Warfare 3 - Collection 1;;;May 8, 2012
;;Call of Duty: Modern Warfare 3 - Collection 2;;;Jun 21, 2012
8.2;Activision;Call of Duty: United Offensive;Action,Shooter,First-Person,Historic,Third-Person,Tactical,Shooter,Historic;87;Sep 14, 2004
7.0;;Call of Duty: War Chest;;;Sep 21, 2006
7.4;Activision Blizzard;Call of Duty: World at War;Action,Shooter,First-Person,Historic,Shooter,Historic;83;Nov 10, 2008
;;Call of Gods;;;Nov 16, 2011
7.9;Ubisoft;Call of Juarez;Action,Shooter,First-Person,Historic,Shooter,Historic;72;Jun 12, 2007
8.0;Ubisoft;Call of Juarez: Bound in Blood;Action,Shooter,First-Person,Historic,Shooter,Historic;78;Jun 30, 2009
8.2;;Call of Juarez: Gunslinger;;79;May 22, 2013
3.4;Ubisoft;Call of Juarez: The Cartel;Action,Shooter,First-Person,Historic,Modern,Shooter,Modern;51;Sep 13, 2011
;;Call of the Ninja!;;;Feb 16, 2015
;;Call of Tomsk-7;;;Aug 10, 2015
7.4;Activision;Call to Power II;Strategy,Turn-Based,Historic,Historic;72;Nov 15, 2000
;Take-Two Interactive;Callahan's Crosstime Saloon;Adventure,General,Point-and-Click;;Apr 30, 1997
;;Calvino Noir;;55;Aug 27, 2015
;;Camera Obscura;;;Feb 19, 2015
;;Camp Keepalive;;;Aug 23, 2013
;HPS Simulations;Campaign Gettysburg;Strategy,Turn-Based,Historic;;Aug 6, 2004
;;Campfire Legends: The Hookman;;;Oct 14, 2009
;;Camping Manager;;;Sep 28, 2012
;TopWare Interactive;Campus;ActionAdventure,Modern,Modern;;Oct 25, 2007
;MumboJumbo;Can You See What I See? Curfuffle's Collectibles;Miscellaneous,Puzzle,General,General,Puzzle,Puzzle;;Oct 13, 2008
;;Can You See What I See? Dream Machine;;;Dec 4, 2009
;;Cannibal;;;Oct 28, 2015
;;Cannon Brawl;;72;Jul 30, 2013
5.7;Game Factory Interactive;Cannon Fodder 3;Strategy,Real-Time,Military,Military;49;Feb 9, 2012
5.4;;Canyon Capers;;;Apr 25, 2014
;;Canyon Capers: Rio River;;;Jun 16, 2014
;;Capcom Arcade Hits Three Pack;;;May 24, 2006
;;Capcom Coin-Op Collection Volume 1;;;Dec 21, 2004
9.0;;Capitalism II;;82;Dec 16, 2001
8.0;Interactive Magic;Capitalism Plus;Strategy,General,Tycoon;;Apr 30, 1997
7.2;Alientrap;CAPSIZED;Action,Platformer,2D,Platformer,2D;80;Apr 29, 2011
;;CAPSULE;;;May 29, 2014
;;Capsule Force;;;Aug 25, 2015
6.2;;Captain Morgane and the Golden Turtle;;54;Jan 3, 2014
;;Captain Puppy;;;Aug 31, 2014
;;Car Mechanic Manager;;;Sep 23, 2015
7.0;;Car Mechanic Simulator 2014;;61;Jan 24, 2014
8.7;;Car Mechanic Simulator 2015;;68;Apr 23, 2015
3.6;Fishtank Interactive;Car Tycoon;Strategy,Tycoon,Tycoon;46;Jan 4, 2002
;;Car Washer: Summer of the Ninja;;;Feb 13, 2012
7.4;;Card City Nights;;;Feb 14, 2014
;;Card Crazy Solitaire;;;Sep 14, 2000
;;Card Dungeon;;;Jun 2, 2015
;;Card Hero;;;Oct 17, 2013
7.9;;Card Hunter;;80;Jul 13, 2015
7.9;;Card Hunter (2013);;83;Sep 12, 2013
;;Card Hunter: Expedition to the Sky Citadel;;;Jul 13, 2015
;;Card Sweethearts;;;Jun 8, 2010
;;Card's War;;;Dec 23, 2014
;;Cardinal - Chapter1;;;May 16, 2014
;;Cardinal Quest;;;Aug 11, 2011
;;CardMatch 3D;;;Jan 30, 2014
;;CardMon Hero;;;Nov 10, 2010
;;Cardys;;;Nov 21, 2013
;;Care Bears: Catch a Star;;;Oct 5, 2005
2.5;;Cargo 3;;;Dec 8, 2014
7.1;;Cargo Commander;;63;Nov 1, 2012
;;Cargo Lander;;;Nov 22, 2013
7.0;Viva Media, bitComposer Games, Viva Media, LLC;Cargo! The Quest for Gravity;Miscellaneous,ActionAdventure,Fantasy,General,General,Fantasy;64;Apr 21, 2011
2.5;;Caribbean!;;;Feb 20, 2015
;;Carl the Caveman;;;Sep 6, 2005
8.3;Interplay;Carmageddon;Simulation,Driving,CarCombat,CarCombat,Combat,Vehicle;;Jun 30, 1997
8.3;Interplay;Carmageddon 2: Carpocalypse Now;Driving,CarCombat,CarCombat;;Nov 30, 1998
7.5;Xicat Interactive;Carmageddon 3: TDR 2000;Driving,CarCombat,CarCombat;48;Dec 14, 2000
4.1;;Carmageddon: Reincarnation;;54;May 21, 2015
;;Carmen Sandiego's ThinkQuick Challenge;;;Jun 1, 1999
;;Carnage Racing;;;Nov 21, 2013
6.8;Activision Value;Carnival Cruise Line Tycoon 2005: Island Hopping;Strategy,Tycoon;46;Jun 21, 2004
;;Carnivore Land;;;Sep 15, 2015
8.3;WizardWorks;Carnivores;Action,Shooter,First-Person,Fantasy,Fantasy,Shooter;;Nov 30, 1998
;WizardWorks;Carnivores 2;Action,Shooter,First-Person,Fantasy,Fantasy,Shooter;;Oct 31, 1999
5.5;Infogrames;Carnivores: Cityscape;Action,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter;56;Mar 25, 2002
7.2;;Carnivores: Dinosaur Hunter Reborn;;;May 27, 2015
;WizardWorks;Carnivores: Ice Age;Action,General,General;54;Jan 15, 2001
;Eidos Interactive;Carol Vorderman's Sudoku;Miscellaneous,Puzzle,Logic,Puzzle,Logic;;Mar 12, 2007
;;Carp Fishing Simulator;;;Apr 28, 2015
;;Carrie the Caregiver 2: Preschool;;;Apr 1, 2008
;;Carrie the Caregiver Episode 1: Infancy;;;Jul 24, 2007
5.7;_No Company, Rising Star Games;Carrier Command: Gaea Mission;First-Person,Adventure,Sci-Fi,Sci-Fi;60;Oct 2, 2012
;Abacus Software;Carrier Strike Force;Simulation,Flight,ModernJet,ModernJet,Combat;;Feb 25, 2008
;;Carriers at War;;;Jun 8, 2007
;;Carrotting Brain;;;Oct 23, 2015
7.7;THQ;Cars;Driving,Racing,Mission-based,Arcade,Mission-based,Automobile;73;Jun 6, 2006
5.2;Disney Interactive Studios;Cars 2: The Video Game;Driving,Racing,General,General;65;Jun 21, 2011
;;Cars Mater-National Championship;;;Oct 29, 2007
;;Cars Toon: Mater's Tall Tales;;;Oct 6, 2014
;THQ;Cars: Radiator Springs Adventures;Driving,Racing,Mission-based,Arcade,Mission-based,Automobile;;Jun 6, 2006
5.9;;Cart Life;;79;Jul 29, 2010
;;Cartagra: Tsuki Kurui no Yamai;;;Oct 31, 2014
;;Carte;;;Mar 8, 2012
;;Cartoon Network All Star Play Pack;;;Oct 13, 2006
7.6;Grigon Entertainment Co., Majesco;Cartoon Network Universe: FusionFall;Role-Playing,MassivelyMultiplayerOnline,Fantasy,MassivelyMultiplayer;75;Jan 13, 2009
;;Casebook Episode 0;;;Jul 6, 2010
;;Cash_Out;;;May 27, 2015
;THQ;Casino Chaos with Las Vegas Players Collection;Miscellaneous,Parlor,Gambling,Gambling;;Sep 20, 2011
8.3;Sierra Entertainment;Casino Empire;Strategy,Tycoon,Tycoon;65;Sep 23, 2002
;;Casino Games 2;;;Apr 1, 2009
;EA Games;Casino Island to Go;Miscellaneous,Compilation,Compilation;;Jul 20, 2005
;;Casino Master 4.0;;;Mar 12, 2001
;DreamCatcher Interactive;Casino Mogul;Strategy,Tycoon,Tycoon;61;Mar 17, 2002
5.8;Monte Cristo Multimedia;Casino Tycoon;Strategy,Tycoon;52;Dec 15, 2001
6.0;Konami;Casino, Inc.;Strategy,Tycoon,Management,Tycoon,Business/Tycoon;55;Mar 26, 2003
;;CasinoRPG;;;Aug 10, 2014
;;Cassandra's Journey: The Legacy of Nostradamus;;;Oct 3, 2008
;;Cast of the Seven Godsends;;55;Jul 20, 2015
;;Castaway Paradise;;;May 4, 2015
3.7;;Caster;;;Jan 7, 2009
;;Castle;;;Jan 7, 2015
7.8;The Behemoth;Castle Crashers;Action,Beat-'Em-Up,2D,Beat-'Em-Up;;Sep 26, 2012
;;Castle Dracula;;;Dec 21, 2012
;;Castle Empire;;;Sep 19, 2011
7.8;;Castle In The Darkness;;76;Feb 5, 2015
;;Castle Infinity;;;Jan 1, 1996
;Hip Games;Castle Siege: Ballerburg;Strategy,General,General;;Aug 1, 2004
7.5;Witt Interactive Software;Castle Strike;Strategy,Real-Time,Historic,Historic;;Oct 12, 2004
;;Castle: Never Judge a Book by its Cover;;;Jun 9, 2014
;;CastleAbra;;;Jun 5, 2015
2.0;;CastleMiner Z;;;Feb 3, 2014
4.0;Atari;Castles & Catapults;Strategy,Real-Time,Fantasy,Fantasy;;Mar 12, 2003
;;Castles (2015);;;Oct 9, 2015
7.9;Zen Studios;CastleStorm;Strategy,General,General;73;Jul 29, 2013
;;CastleStorm: From Outcast to Savior;;;Jul 31, 2013
;;CastleStorm: The Warrior Queen;;;Sep 25, 2013
6.9;;Castlevania: Lords of Shadow - Mirror of Fate HD;;;Mar 27, 2014
7.7;;Castlevania: Lords of Shadow 2;;58;Feb 25, 2014
;;Castlevania: Lords of Shadow 2 - Revelations;;;Mar 26, 2014
7.3;Konami;Castlevania: Lords of Shadow Ultimate Edition;ActionAdventure,Fantasy,General,Fantasy;81;Aug 27, 2013
;Got Game Entertainment;Casual Game-Pack 3-in-1;Miscellaneous,Puzzle,General;;Nov 28, 2007
;;Cat Girl Alliance;;;Feb 10, 2010
;;Cat Goes Fishing;;;Jan 19, 2015
;;CAT Interstellar;;;Aug 28, 2015
;;Cat Mario 3;;;Oct 30, 2011
;;Cataegis : The White Wind;;;Sep 25, 2015
;Oberon Media;Catan;Miscellaneous,BoardGames,BoardGames;;Jan 1, 2005
5.3;;Catan: Creator's Edition;;;Aug 14, 2013
;;Cate West: The Vanishing Files;;;Feb 6, 2008
;;Cate West: The Velvet Keys;;;May 21, 2009
;;Caterpillar Construction Tycoon;;;Nov 21, 2005
;;Catlateral Damage;;;May 27, 2015
;;Catmouth Island;;;Dec 31, 2014
3.9;EA Games;Catwoman;ActionAdventure,Modern,Modern;46;Jul 20, 2004
;Ubisoft;Catz;Simulation,Miscellaneous,VirtualLife,VirtualLife,Virtual,Pet;;Nov 14, 2006
;;Catz 3: Your Virtual Petz;;;Sep 28, 1998
;;Catz 4;;;Sep 28, 1999
;;Catz 5;;;Sep 18, 2002
;;Cave Coaster;;;Jun 4, 2015
8.8;;Cave Story;;;Nov 22, 2011
8.3;Nicalis;Cave Story Plus;Action,Platformer,2D,Platformer,2D;83;Nov 22, 2011
;;CaveExpress;;;Sep 25, 2013
;;Caveman Craig;;;Aug 28, 2015
;;Caveman Craig 2;;;Mar 21, 2012
;;CavePacker;;;Dec 1, 2014
;;Caverns of Kappulus;;;Jan 2, 2014
;;Caverns of Mimas;;;Mar 11, 2012
;;Caverns of the Snow Witch;;;Aug 3, 2015
;Avalon Hill;Cavewars;Strategy,General;;Nov 30, 1996
;;Cavorite: The Complete Saga;;;May 22, 2012
;;CDF Ghostship;;;Jun 26, 2015
;;Celestial Command;;;Nov 20, 2014
;;Celestial Impact;;;May 15, 2008
;;Celestial Tear: Demon's Revenge;;;Aug 20, 2015
4.2;;Celestian Tales: Old North;;;Aug 10, 2015
;Vulcando Games;Celetania;Role-Playing,MassivelyMultiplayerOnline,Sci-Fi;;Feb 13, 2009
;;Celia's Quest;;;Jun 24, 2015
;;Cell;;;Apr 18, 2014
;;Cell Phone Love Letter;;;Mar 31, 2007
;New Life Interactive, LLC;Cell: emergence;Action,General,General;;Feb 19, 2015
;Super Furious Software;Cellblock Squadrons;Simulation,Sci-Fi,SmallSpaceship;;Nov 15, 2004
;Ubisoft;CellFactor: Psychokinetic Wars;Action,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter;;Nov 29, 2010
5.0;Artificial Studios, Immersion Software & Graphics;CellFactor: Revolution;Action,Shooter,First-Person,Sci-Fi,Sci-Fi,Shooter;50;May 8, 2007
;;CellZenith;;;Sep 30, 2008
8.4;Strategy First;Celtic Kings: Rage of War;Strategy,Real-Time,Historic,Historic;82;Aug 21, 2002
;;Cemetery Warrior 3;;;Jan 29, 2015
;;Centauri Sector;;;Jun 24, 2015
;Hasbro Interactive;Centipede;Action,Shooter,Static,Shooter,Static,Shoot-'Em-Up,Top-Down;;Oct 31, 1998
;;Centration;;;Apr 4, 2014
;;Ceres;;;Oct 16, 2015
;;Cesar Millan's Dog Whisperer;;;Oct 15, 2008
8.2;;Ceville;;73;Sep 28, 2009
;;Chain;;;Jul 7, 2002
;;Chain Reaction;;;Jun 17, 2003
6.4;;Chains;;;Jan 1, 2008
3.8;;Chainsaw Warrior;;;Oct 7, 2013
;;Chainsaw Warrior: Lords of the Night;;;Feb 17, 2015
;MumboJumbo;Chainz;Miscellaneous,Puzzle,General,General,Puzzle;;Jul 28, 2004
;MumboJumbo;Chainz 2: Relinked;Miscellaneous,Puzzle,General,Puzzle;;Sep 8, 2005
;;Chainz 2: Relinked;;;Apr 25, 2007
;;Chainz Galaxy;;;Jan 12, 2011
;;Chak's Temple;;;Mar 6, 2007
;;Challenge Me: Brain Puzzles 2;;;Oct 26, 2010
;O-Games;Challenge Me: Word Puzzles;Miscellaneous,Edutainment,Edutainment;;May 3, 2011
;;Chamber of Concordance;;;Apr 1, 2015
;;Chameleon Gems;;;Oct 18, 2006
;Ubisoft;Champion Dreams: First to Ride;Sports,Alternative,Other,Other;;Jun 15, 2006
;;Champion of the Gods;;;Jul 17, 2015
