user_score;publisher;title;genre;score;release
;3DO;3DO Games: Decathlon;Sports,OlympicSports,OlympicSports;;Oct 31, 1996
;TN Games;3rd Space Incursion;Action,Shooter,First-Person,Modern,Shooter,Modern;;Nov 21, 2007
4.8;;3SwitcheD;;;Mar 29, 2012
7.5;;4 Elements;;;Sep 3, 2008
;Playrix Entertainment;4 Elements II;Miscellaneous,General,General,Puzzle,Puzzle,Matching;;Sep 28, 2011
;;404Sight;;;Apr 16, 2015
;;4089: Ghost Within;;;Jan 9, 2015
;;48 Chambers;;;Apr 8, 2012
4.0;;4PM;;41;Jul 9, 2014
;;4x4 Dream Race;;;Jul 15, 2014
8.4;Gathering;4x4 EVO 2;Driving,Racing,Rally/Offroad,Rally/Offroad;69;Oct 30, 2001
6.0;Gathering;4x4 Evolution;Driving,Racing,Rally/Offroad,Rally/Offroad;73;Oct 29, 2000
8.2;;5 Days a Stranger;;;Jan 1, 2003
;;5 Minutes RPG;;;Jul 4, 2012
;;5 Spots II;;;Mar 14, 2005
;;500 Years Act 1;;;Apr 15, 2015
;;505 Great Games;;;Jan 1, 2004
;;6 (+1) Sci-Fi Pack;;;Apr 5, 2005
;;6 Days a Sacrifice;;;Jan 25, 2007
;;6 Game Fun Pack;;;Sep 1, 2010
;21 Rocks, LLC;6 Great Games;Miscellaneous,General,General;;Aug 16, 2011
;;6 Nights;;;Mar 2, 2015
6.7;;60 Seconds!;;;May 25, 2015
7.4;;6180 the Moon;;;Sep 19, 2014
;Electronic Arts;688(I) Hunter/Killer;Simulation,Submarine,Submarine;;Jun 30, 1997
7.7;;7 Days to Die;;;Dec 13, 2013
7.3;;7 Grand Steps;;69;Jun 7, 2013
;;7 Wonders II;;;Aug 14, 2007
;;7 Wonders of the Ancient World;;;Feb 2, 2007
7.4;;7 Wonders: Ancient Alien Makeover;;;Oct 24, 2012
;;7 Wonders: Magical Mystery Tour;;;Feb 18, 2014
7.8;;7 Wonders: Treasures of Seven;;;Oct 24, 2008
5.1;;7554;;41;Jul 20, 2012
;;757 Captain;;;Dec 6, 2008
;;767- 200/300 Series;;;Feb 16, 2010
7.4;;7Days;;;May 28, 2013
;MicroProse;7th Legion;Strategy,General,General;;Sep 30, 1997
;;8 Great Games for Girls;;;Dec 12, 2008
;;8-Bit Adventures: The Forgotten Journey - Remastered Edition;;;May 22, 2015
8.6;;8-Bit Boy;;;Nov 22, 2012
;2DEngine;8-Bit Commando;Action,General,General;;Jul 10, 2011
;;8-Bit Night;;;Dec 18, 2011
;;80 Boxes;;;Dec 23, 2014
7.3;Matrix Games;80 Days;Adventure,Fantasy,Third-Person,Fantasy;58;Dec 12, 2005
;;80 Days (2015);;83;Sep 29, 2015
;;868-HACK;;;Jan 27, 2015
;;8Bit Fiesta;;;Oct 1, 2015
6.7;;8BitBoy;;64;May 5, 2014
5.5;;8BitMMO;;;Mar 16, 2012
;;8Realms;;;May 5, 2011
;GMX Media;8th Wonder of The World;Strategy,Real-Time,Fantasy;;May 15, 2004
;;9 Clues 2: The Ward;;;Jul 23, 2015
;;9 Clues: The Secret of Serpent Creek;;;Jul 10, 2014
;;9 Months In;;;Jan 20, 2012
6.6;;9.03m;;;Sep 12, 2013
7.0;Atari;911 Fire Rescue;Action,General,General;48;Jun 24, 2001
8.6;Atari;911: First Responders;Action,General,General;;Jun 22, 2007
7.4;;99 Levels To Hell;;66;Feb 19, 2014
6.7;;99 Spirits;;;Nov 12, 2013
;;99 Spirits: Cage of Night;;;Jul 4, 2014
;;99 Waves to Die;;;Apr 10, 2015
;GT Interactive;9: The Last Resort;First-Person,Adventure,General,Fantasy,Fantasy;;Sep 30, 1996
;;9Dragons;;;May 9, 2007
6.7;;9th Company: Roots of Terror;;;Jan 15, 2008
;;A Bastard's Tale;;;May 26, 2015
7.4;;A Bird Story;;66;Nov 7, 2014
;;A Camp in the Woods;;;Oct 27, 2014
